raw_predicted_probability,raw_observed_frequency,calibrated_predicted_probability,calibrated_observed_frequency
0.004910322822785626,0.006666666666666667,0.01373286341356172,0.005
0.011086259557244679,0.006666666666666667,0.014096927522933482,0.006666666666666667
0.017869414631277322,0.008333333333333333,0.014484507352789307,0.008333333333333333
0.026230683447793127,0.015,0.01501068220044903,0.01
0.03758142538368702,0.01,0.015755096284045842,0.011666666666666667
0.05521217046926419,0.013333333333333334,0.016896132019330715,0.018333333333333333
0.08185896215339501,0.016666666666666666,0.018821155930018176,0.021666666666666667
0.12978260919451715,0.04666666666666667,0.023115732820169585,0.028333333333333332
0.23297978753844897,0.04833333333333333,0.03642833858136966,0.055
0.5701662044723829,0.17166666666666666,0.17910979570031457,0.17833333333333334
